quote,author,category
Nationalism is power hunger tempered by self-deception.,George Orwell,"Hunger, Nationalism "
Liberal: a power worshipper without power.,George Orwell,"Liberal, Without, Worshipper "
"Doublethink means the power of holding two contradictory beliefs in one's mind simultaneously, and accepting both of them.",George Orwell,"Mind, Two, Beliefs "
"It is almost universally felt that when we call a country democratic we are praising it; consequently, the defenders of every kind of regime claim that it is a democracy, and fear that they might have to stop using the word if it were tied down to any one meaning.",George Orwell,"Democracy, Meaning, Down "
No one can look back on his schooldays and say with truth that they were altogether unhappy.,George Orwell,"Look, Unhappy, Say "
For a creative writer possession of the 'truth' is less important than emotional sincerity.,George Orwell,"Creative, Truth Is "
"Whatever is funny is subversive, every joke is ultimately a custard pie... a dirty joke is a sort of mental rebellion.",George Orwell,"Rebellion, Pie, Mental "
"Each generation imagines itself to be more intelligent than the one that went before it, and wiser than the one that comes after it.",George Orwell,"Generation, Intelligent "
"If you want a vision of the future, imagine a boot stamping on a human face - forever.",George Orwell,"Future, Vision, Want "
If you have embraced a creed which appears to be free from the ordinary dirtiness of politics - a creed from which you yourself cannot expect to draw any material advantage - surely that proves that you are in the right?,George Orwell,"Yourself, Free, You "
I doubt whether classical education ever has been or can be successfully carried out without corporal punishment.,George Orwell,"Doubt, Punishment, Without "
We sleep safe in our beds because rough men stand ready in the night to visit violence on those who would do us harm.,George Orwell,"Sleep, Night, Violence "
Sometimes the first duty of intelligent men is the restatement of the obvious.,George Orwell,"Intelligent, Sometimes "
Men are only as good as their technical development allows them to be.,George Orwell,"Good, Development, Technical "
Society has always to demand a little more from human beings than it will get in practice.,George Orwell,"Practice, Human, Little "
Freedom is the right to tell people what they do not want to hear.,George Orwell,"People, Want, Right "
"All political thinking for years past has been vitiated in the same way. People can foresee the future only when it coincides with their own wishes, and the most grossly obvious facts can be ignored when they are unwelcome.",George Orwell,"Thinking, Past, Political "
"Cannibals? Who is not a cannibal? I tell you it will be more tolerable for the Fejee that salted down a lean missionary in his cellar against a coming famine; it will be more tolerable for that provident Fejee, I say, in the day of judgement, than for thee, civilized and enlightened gourmand, who nailest geese to the ground and feastest on their bloated livers in thy pate de fois gras.","Herman Melville, Moby Dick","fiction, historical, philosophy"
"So, when on one side you hoist in Locke's head, you go over that way; but now, on the other side, hoist in Kant's and you come back again; but in very poor plight. Thus, some minds for ever keep trimming boat. Oh, ye foolish! throw all these thunder-heads overboard, and then you will float light and right.","Herman Melville, Moby-Dick or, The Whale",philosophy
"Is it not curious, that so vast a being as the whale should see the world through so small an eye, and hear the thunder through an ear which is smaller than a hare's? But if his eyes were broad as the lens of Herschel's great telescope; and his ears capacious as the porches of cathedrals; would that make him any longer of sight, or sharper of hearing? Not at all.—Why then do you try to ""enlarge"" your mind? Subtilize it","Herman Melville, Moby-Dick or, The Whale","frederick-william-herschel, friedrich-wilhelm-herschel, philosophy, wilhelm-herschel, william-herschel"
"Queequeg was a native of Kokovoko, an island far away to the West and South. It is not down in any map; true places never are.","Herman Melville, Moby-Dick or, The Whale","inspirational, truth"
"But vain to popularize profundities, and all truth is profound.","Herman Melville, Moby-Dick or, The Whale","herman-melville, ishmael, moby-dick, profundity, society, truth"
"The sea had jeeringly kept his finite body up, but drowned the infinite of his soul. Not drowned entirely, though. Rather carried down alive to wondrous depths, where strange shapes of the unwarped primal world glided to and fro before his passive eyes; and the miser-merman, Wisdom, revealed his hoarded heaps; and among the joyous, heartless, ever-juvenile eternities, Pip saw the multitudinous, God-omnipresent, coral insects, that out of the firmament of waters heaved the colossal orbs. He saw God’s foot upon the treadle of the loom, and spoke it; and therefore his shipmates called him mad. So man’s insanity is heaven’s sense; and wandering from all mortal reason, man comes at last to that celestial thought, which, to reason, is absurd and frantic; and weal or woe, feels then uncompromised, indifferent as his God.","Herman Melville, Moby-Dick or, The Whale","god, horror, lovecraft, madness, sublime, the-sea"
"Give not thyself up, then, to fire, lest it invert thee, deaden thee, as for the time it did me. There is a wisdom that is woe; but there is a woe that is madness.","Herman Melville, Moby-Dick or, The Whale","madness, wisdom, woe"
"Ah, happiness courts the light so we deem the world is gay. But misery hides aloof so we deem that misery there is none.","Herman Melville, Bartleby the Scrivener",happiness
"One often hears of writers that rise and swell with their subject, though it may seem but an ordinary one. How, then, with me, writing of this Leviathan? Unconsciously my chirography expands into placard capitals. Give me a condor's quill! Give me Vesuvius' crater for an inkstand! Friends, hold my arms! For in the mere act of penning my thoughts of this Leviathan, they weary me, and make me faint with their out-reaching comprehensiveness of sweep, as if to include the whole circle of the sciences, and all the generations of whales, and men, and mastodons, past, present, and to come, with all the revolving panoramas of empire on earth, and throughout the whole universe, not excluding its suburbs. Such, and so magnifying, is the virtue of a large and liberal theme! We expand to its bulk. To produce a mighty book, you must choose a mighty theme. No great and enduring volume can ever be written on the flea, though many there be who have tried it.","Herman Melville, Moby-Dick or, The Whale","classic, english, herman-melville, history, literature, masterpiece, moby-dick, novel, prose, quotes"
"To produce a mighty book, you must choose a mighty theme.",Herman Melville,writing
Better to sleep with a sober cannibal than a drunk Christian.,"Herman Melville, Moby-Dick or, The Whale","religion, sobriety"
"But what is worship? thought I. Do you suppose now, Ishmael, that the magnanimous God of heaven and earth—pagans and all included—can possibly be jealous of an insignificant bit of black wood? Impossible! But what is worship?—to do the will of God—that is worship. And what is the will of God?—to do to my fellow man what I would have my fellow man to do to me—that is the will of God.","Herman Melville, Moby-Dick or, The Whale","god, goodness, religion"
It is better to fail in originality than to succeed in imitation.,Herman Melville,success
Ignorance is the parent of fear.,"Herman Melville, Moby-Dick or, The Whale","education, fear, ignorance"
"Give not thyself up, then, to fire, lest it invert thee, deaden thee; as for the time it did me. There is a wisdom that is woe; but there is a woe that is madness. And there is a Catskill eagle in some souls that can alike dive down into the blackest gorges, and soar out of them again and become invisible in the sunny spaces. And even if he for ever flies within the gorge, that gorge is in the mountains; so that even in his lowest swoop the mountain eagle is still higher than other birds upon the plain, even though they soar.","Herman Melville, Moby-Dick or, The Whale","courage, fortitude, inspirational, life, motivational, resilience"
"[T]hen all collapsed, and the great shroud of the sea rolled on as it rolled five thousand years ago.","Herman Melville, Moby-Dick or, The Whale","immensity, maritime, ocean, sea, time"
"The classification of the constituents of a chaos, nothing less is here essayed.","Herman Melville, Moby-Dick or, The Whale",science
"All men live enveloped in whale-lines. All are born with halters round their necks; but it is only when caught in the swift, sudden turn of death, that mortals realize the silent, subtle, ever-present perils of life. And if you be a philosopher, though seated in the whale-boat, you would not at heart feel one whit more of terror, than though seated before your evening fire with a poker, and not a harpoon, by your side.","Herman Melville, Moby-Dick or, The Whale","fear, mortality"
"All men live enveloped in whale-lines. All are born with halters round their necks; but it is only when caught in the swift, sudden turn of death, that mortals realize the silent, subtle, ever-present perils of life.","Herman Melville, Moby-Dick or, The Whale","fear, mortality"
"The fiendlike skill we display in the invention of all manner of death-dealing engines, the vindictiveness with which we carry on our wars, and the misery and desolation that follow in their train, are enough of themselves to distinguish the white civilized man as the most ferocious animal on the face of the earth.","Herman Melville, Typee, Omoo, Mardi","civilization, violence, war, white-people"
"Nor, perhaps, will it fail to be eventually perceived, that behind those forms and usages, as it were, he sometimes masked himself; incidentally making use of them for other and more private ends than they were legitimately intended to subserve. That certain sultanism of his brain, which had otherwise in a good degree remained unmanifested; through those forms that same sultanism became incarnate in an irresistible dictatorship. For be a man’s intellectual superiority what it will, it can never assume the practical, available supremacy over other men, without the aid of some sort of external arts and entrenchments, always, in themselves, more or less paltry and base. This it is, that for ever keeps God’s true princes of the Empire from the world’s hustings; and leaves the highest honors that this air can give, to those men who become famous more through their infinite inferiority to the choice hidden handful of the Divine Inert, than through their undoubted superiority over the dead level of the mass. Such large virtue lurks in these small things when extreme political superstitions invest them, that in some royal instances even to idiot imbecility they have imparted potency. But when, as in the case of Nicholas the Czar, the ringed crown of geographical empire encircles an imperial brain; then, the plebeian herds crouch abased before the tremendous centralization. Nor, will the tragic dramatist who would depict mortal indomitableness in its fullest sweep and direct swing, ever forget a hint, incidentally so important in his art, as the one now alluded to.","Herman Melville, Moby-Dick or, The Whale","herd-mentality, myth, politics, prophecy, superstition"
"And the drawing near of Death, which alike levels all, alike impresses all with a last revelation, which only an author from the dead could adequately tell.",Herman Melville,"herman-melville, life-quotes, quotes-about-life"
"…for it is often to be observed of the shallower men, that they are the very last to despond. It is the glory of the bladder that nothing can sink it; it is the reproach of a box of treasure, that once overboard it must drown","Herman Melville, Pierre: or, the Ambiguities","depression, soul, thought"
"Savage though he was, and hideously marred about the face-at least to my taste-his countenance yet had a something in it which was by no means disagreeable. You cannot hide the soul.","Herman Melville, Moby-Dick or, The Whale",soul
"Now, as you well know, it is not seldom the case in this conventional world of ours - watery or otherwise; that when a person placed in command over his fellow-men finds one of them to be very significantly his superior in general pride of manhood, straightway against that man he conceives an unconquerable dislike and bitterness; and if he have a chance he will pull down and pulverize that subaltern's tower, and make a little heap of dust of it.",Herman Melville,"conflict, hate, leadership"
[T]here is no folly of the beasts of the earth which is not infinitely outdone by the madness of men.,"Herman Melville, Moby-Dick or, The Whale","animals, beasts, human-condition, humanity, men"
"Consider the subtleness of the sea; how its most dreaded creatures glide under water, unapparent for the most part, and treacherously hidden beneath the loveliest tints of azure..... Consider all this; and then turn to this green, gentle , and most docile earth; consider them both, the sea and the land; and do you not find a strange analogy to something in yourself?","Herman Melville, Moby-Dick or, The Whale","inspirational, nature"
"At such times, under an abated sun; afloat all day upon smooth, slow heaving swells; seated in his boat, light as a birch canoe; and so sociably mixing with the soft waves themselves, that like hearth-stone cats they purr against the gunwale; these are the times of dreamy quietude, when beholding the tranquil beauty and brilliancy of the ocean's skin, one forgets the tiger heart that pants beneath it; and would not willingly remember, that this velvet paw but conceals a remorseless fang.","Herman Melville, Moby-Dick or, The Whale","ocean, peace, threat"
"To a sensitive being, pity is not seldom pain.","Herman Melville, Bartleby","human-condition, pain, pity"
Ahab and aguish lay stretched together in one hammock.,"Herman Melville, Moby-Dick or, The Whale","ahab, anguish, beautiful-language, captain-ahab, pain, physical-pain"
"I'll try a pagan friend, thought I, since Christian kindness has proved but hollow courtesy.",Herman Melville,"christian, courtesy, friend, kindness, pagan"
"Is it not curious, that so vast a being as the whale should see the world through so small an eye, and hear the thunder through an ear which is smaller than a hare's? But if his eyes were broad as the lens of Herschel's great telescope; and his ears capacious as the porches of cathedrals; would that make him any longer of sight, or sharper of hearing? Not at all.-Why then do you try to 'enlarge' your mind? Subtilize it.",Herman Melville,"mind, moby-dick, senses, whale"
"You cannot spill a drop of American blood without spilling the blood of the whole world.... We are not a nation, so much as a world.",Herman Melville,"america, world"
"When I go to sea, I go as a simple sailor, right before the mast, plumb down into the forecastle, aloft there to the royal mast-head. True, they rather order me about some, and make me jump from spar to spar, like a grasshopper in a May meadow. And at first, this sort of thing is unpleasant enough. It touches one's sense of honor, particularly if you come of an old established family in the land, the van Rensselaers, or Randolphs, or Hardicanutes. And more than all, if just previous to putting your hand into the tar-pot, you have been lording it as a country schoolmaster, making the tallest boys stand in awe of you. The transition is a keen one, I assure you, from the schoolmaster to a sailor, and requires a strong decoction of Seneca and the Stoics to enable you to grin and bear it. But even this wears off in time.What of it, if some old hunks of a sea-captain orders me to get a broom and sweep down the decks? What does that indignity amount to, weighed, I mean, in the scales of the New Testament? Do you think the archangel Gabriel thinks anything the less of me, because I promptly and respectfully obey that old hunks in that particular instance? Who ain't a slave? Tell me that. Well, then, however the old sea-captains may order me about—however they may thump and punch me about, I have the satisfaction of knowing that it is all right; that everybody else is one way or other served in much the same way—either in a physical or metaphysical point of view, that is; and so the universal thump is passed round, and all hands should rub each other's shoulder-blades, and be content.","Herman Melville, Moby-Dick or, The Whale","adventure, herman-melville, life, moby-dick, quote, travel"
... an utterly fearless man is a far more dangerous comrade than a coward.,"Herman Melville, Moby-Dick or, The Whale","courage, danger, peril"
"... the most reliable and useful courage was that which arises from the fair estimation of the encountered peril,","Herman Melville, Moby-Dick or, The Whale",courage
"Ahab still stood like an anvil, receiving every shock, but without the least quivering of his own.",Herman Melville,"endurance, strength"
"Looking into his eyes, you seemed to see there the yet lingering images of those thousand-fold perils he had calmly confronted through life. A staid, steadfast man, whose life for the most part was a telling pantomime of action, and not a tame chapter of sounds.","Herman Melville, Moby-Dick or, The Whale","life, manhood, resilience, strength"
"Though I cannot tell why it was exactly that those stage managers, the Fates, put me down for this shabby part of a whaling voyage, when others were set down for magnificent parts in high tragedies, and short and easy parts in genteel comedies, and jolly parts in faces—though I cannot tell why this was exactly; yet, now that I recall all the circumstances, I think I can see a little into the springs and motives which being cunningly presented to me under various disguises, induced me to set about performing the part I did, besides cajoling me into the delusion that it was a choice resulting from my own unbiased freewill and discriminating judgment.","Herman Melville, Moby-Dick or, The Whale","choice, destiny, fate, freewill"
"Come what will, one comfort's always left — that unfailing comfort is, it's all predestinated.","Herman Melville, Moby-Dick or, The Whale","belief, fate"
A man thinks that by mouthing hard words he understands hard things. ,Herman Melville,"poverty, words"
"Whenever I find myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I find myself involuntarily pausing before coffin warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off - then, I account it high time to get to sea as soon as I can.","Herman Melville, Moby-Dick","antisocial, depression, negativity"
"So far gone am I in the dark side of earth, that its other side, the theoretic bright one, seems but uncertain twilight to me.","Herman Melville, Moby-Dick or, The Whale","depression, mental-illness, pessimism"
"The White Whale swam before him as the monomaniac incarnation of all those malicious agencies which some deep men feel eating them, till they are left living with half a heart and half a lung.","Herman Melville, Moby-Dick or, The Whale","depression, moby-dick"
"The sun hides not the ocean, which is the dark side of this earth, and which is two thirds of this earth. So, therefore, that mortal man who hath more of joy than sorrow in him, that mortal man cannot be true-- not true, or undeveloped. With books the same. The truest of all men was the Man of Sorrows, and the truest of all books is Solomon’s, and Ecclesiastes is the fine hammered steel of woe.","Herman Melville, Moby-Dick or, The Whale","depression, melancholy, moby-dick, sorrow"
"For, thought Ahab, while even the highest earthly felicities ever have a certain unsignifying pettiness lurking in them, but, at bottom, all heartwoes, a mystic significance, and, in some men, an archangelic grandeur; so do their diligent tracings-out not belie the obvious deduction. To trail the genealogies of these high mortal miseries, carries us at last among the sourceless primogenitures of the gods; so that, in the face of all the glad, hay-making suns, and soft-cymballing, round harvest-moons, we must needs give in to this: that the gods themselves are not for ever glad. The ineffaceable, sad birthmark in the brow of man, is but the stamp of sorrow in the signers.","Herman Melville, Moby-Dick or, The Whale",sadness
"For, thought Ahab, while even the highest earthly felicities ever have a certain unsignifying pettiness lurking in them, but, at bottom, all heartwoes, a mystic significance, and, in some men, an archangelic grandeur; so do their diligent tracings-out not blue the obvious deduction. To trail the genealogies of these high mortal miseries, carries us at last among the sourceless primogenitures of the gods; so that, in the face of all the glad, hay-making suns, and the softcymballing, round the harvest-moons, we must needs give in to this: that the gods themselves are not for ever glad. The ineffaceable, sad birth-mark in the brow of man, is but the stamp of sorrow in the signers.",Herman Melville,"creation, divinity, philosophical, sadness, unhappiness"
"Close! stand close to me, Starbuck; let me look into a human eye; it is better than to gaze into sea or sky; better than to gaze upon God. By the green land; by the bright hearthstone! this is the magic glass, man; I see my wife and my child in thine eye. No, no; stay on board, on board!- lower not when I do; when branded Ahab gives chase to Moby Dick. That hazard shall not be thine. No, no! not with the far away home I see in that eye!","Herman Melville, Moby-Dick or, The Whale",compassion
"There is no steady unretracing progress in this life; we do not advance through fixed gradations, and at the last one pause: - through infancy's unconscious spell, boyhood's thoughtless faith, adolescence' doubt (the common doom). and then scepticism, then disbelief, resting at last in manhood's pondering repose of If.","Herman Melville, Moby-Dick or, The Whale","evolution, growth, life"
"So true it is, and so terrible, too, that up to a certain point the thought or sight of misery enlists our best affections; but, in certain special cases, beyond that point it does not. they err who would assert that invariable this is owing to the inherent selfishness of the human heart. It rather proceeds from a certain hopelessness of remedying excessive and organic ill. To a sensitive being, pity is not seldom pain. An when at last it is perceived that such pity cannot lead to effectual succor, common sense bides the soul be rid of it.","Herman Melville, Bartleby the Scrivener","excessive-ill, human-misery, melville, misery, pity, suffering"
"Who ain't a slave? Tell me that... I have the satisfaction of knowing that it is all right; that everybody else is one way or other served in much the same way—either in a physical or metaphysical point of view, that is; and so the universal thump is passed round, and all hands should rub each other's shoulder-blades, and be content.",Herman Melville,"slaves, suffering"
"He challenged the world with his genius, and the world defeated him by ignoring the challenge and starving him. He stopped writing because he had failed and because he had no choice but to accept the world’s terms: there is no mystery here. This was not insanity, but common sense.","Raymond Weaver, The Shorter Novels of Herman Melville: Benito Cereno/Bartleby the Scrivener/The Encantadas, or Enchanted Isles/Billy Budd, Foretopman","defeat, failure, genius"
I would prefer not to.,"Herman Melville, Bartleby the Scrivener","ego, melville, mystery, nobody, puzzle, secret"
"...then the rushing Pequod, freighted with savages, and laden with fire, and burning a corpse, and plunging into that blackness of darkness, seemed the material counterpart of her monomaniac commander's soul.","Herman Melville, Moby-Dick or, The Whale","corpse, darkness, fire, madness"
"Of all the preposterous assumptions of humanity over humanity, nothing exceeds most of the criticisms made on the habits of the poor by the well-housed, well- warmed, and well-fed.",Herman Melville,"criticism, poverty"
"Do not presume, well-housed, well-warmed, and well-fed, to criticize the poor",Herman Melville,poverty
"I know not all that may be coming, but be it what it will, I'll go to it laughing.","Herman Melville, Moby-Dick or, The Whale","adventure, laughter"
"I love to sail forbidden seas, and land on barbarous coasts.",Herman Melville,"adventure, adventuresome, just-do-it, travels"
I love to sail forbidden seas and land on barbarous coasts.,"Herman Melville, Moby-Dick or, The Whale","adventure, sea-voyages, wanderlust"
"His three boats stove around him, and oars and men both whirling in the eddies; one captain, seizing the line-knife from his broken prow, had dashed at the whale, as an Arkansas duellist at his foe, blindly seeking with a six inch blade to reach the fathom-deep life of the whale. That captain was Ahab. And then it was, that suddenly sweeping his sickle-shaped lower jaw benieath him, Moby Dick had reaped away Ahab's leg.","Herman Melville, Moby-Dick or, The Whale","adventure, epic, obsession"
"Ahab is for ever Ahab, man. This whole act's immutably decreed. 'Twas rehearsed by thee and me a billion years before this ocean rolled. Fool! I am the Fates' lieutenant, I act under orders.","Herman Melville, Moby-Dick or, The Whale","fate, melville, moby-dick, revenge"
"Is Ahab, Ahab? Is it I, God, or who, that lifts this arm? But if the great sun move not of himself; but is an errand-boy in heaven; nor one single star can revolve, but by some invisible power; how then can this one small heart beat; this one small brain think thoughts; unless God does that beating, does that thinking, does that living, and not I.","Herman Melville, Moby-Dick","fate, free-will"
"The frenzies of the chase had by this time worked them bubblingly up, like old wine worked anew. Whatever pale fears and forebodings some of them might have felt before; these were not only now kept out of sight through the growing awe of Ahab, but they were broken up, and on all sides routed, as timid prairie hares that scatter before the bounding bison. The hand of Fate had snatched all their souls; and by the stirring perils of the previous day; the rack of the past night's suspense; the fixed, unfearing, blind, reckless way in which their wild craft went plunging towards its flying mark; by all these things, their hearts were bowled along. The wind that made great bellies of their sails, and rushed the vessel on by arms invisible as irresistible; this seemed the symbol of that unseen agency which so enslaved them to the race.They were one man, not thirty. For as the one ship that held them all; though it was put together of all contrasting things — oak, and maple, and pine wood; iron, and pitch, and hemp — yet all these ran into each other in the one concrete hull, which shot on its way, both balanced and directed by the long central keel; even so, all the individualities of the crew, this man's valor, that man's fear; guilt and guiltiness, all varieties were welded into oneness, and were all directed to that fatal goal which Ahab their one lord and keel did point to.The rigging lived. The mast-heads, like the tops of tall palms, were outspreadingly tufted with arms and legs. Clinging to a spar with one hand, some reached forth the other with impatient wavings; others, shading their eyes from the vivid sunlight, sat far out on the rocking yards; all the spars in full bearing of mortals, ready and ripe for their fate. Ah! how they still strove through that infinite blueness to seek out the thing that might destroy them!","Herman Melville, Moby-Dick or, The Whale","chase, fate, teamwork"
"With no power to annul the elemental evil in him, though readily enough he could hide it; apprehending the good, but powerless to be it; a nature like Claggart’s, surcharged with energy as such natures almost invariably are, what recourse is left to it but to recoil upon itself and, like the scorpion for which the Creator alone is responsible, act out to the end the part allotted it.",Herman Melville,"evil, powerless, scorpion"
"To be enraged with a dumb thing, Captain Ahab, seems blasphemous.","Herman Melville, Moby-Dick or, The Whale",anger
"one captain, seizing the line-knife from his broken prow, had dashed at the whale, as an Arkansas duelist at his foe, blindly seeking with a six-inch blade to reach the fathom-deep life of the whale. That captain was Ahab.",Herman Melville,"ahab, anger, arkansas, hate, madness, moby-dick, rage, sailors, sea, whale"
"For whatever is truly wondrous and fearful in man, never yet was put into words or books.",Herman Melville,"books, man"
"However baby man may brag of his science and skill, and however much, in a flattering future, that science and skill may augment; yet for ever and for ever, to the crack of doom, the sea will insult and murder him, and pulverize the stateliest, stiffest frigate he can make; nevertheless, by the continual repetition of these very impressions, man has lost that sense of the full awfulness of the sea which aboriginally belongs to it.","Herman Melville, Moby-Dick or, The Whale","man, nature, science, technology, the-ocean, the-sea"
"Thought he, it's a wicked world in all meridians; I'll die a pagan.","Herman Melville, Moby-Dick or, The Whale","morality, religion"
Ignorance is the parent of fear ...,"Herman Melville, Moby-Dick or, The Whale","fear, ignorance, knowledge, wisdom"
"Thy silence, then that voices thee.","Herman Melville, Moby-Dick or, The Whale","judgement, silence, voice"
"Is it that by its indefiniteness it shadows forth the heartless voids and immensities of the universe, and thus stabs us from behind with the thought of annihilation, when beholding the white depths of the milky way? Or is it, that as in essence whiteness is not so much a color as the visible absence of color; and at the same time the concrete of all colors; is it for these reasons that there is such a dumb blankness, full of meaning, in a wide landscape of snows- a colorless, all-color of atheism from which we shrink? And when we consider that other theory of the natural philosophers, that all other earthly hues — every stately or lovely emblazoning — the sweet tinges of sunset skies and woods; yea, and the gilded velvets of butterflies, and the butterfly cheeks of young girls; all these are but subtile deceits, not actually inherent in substances, but only laid on from without; so that all deified Nature absolutely paints like the harlot, whose allurements cover nothing but the charnel-house within; and when we proceed further, and consider that the mystical cosmetic which produces every one of her hues, the great principle of light, for ever remains white or colorless in itself, and if operating without medium upon matter, would touch all objects, even tulips and roses, with its own blank tinge — pondering all this, the palsied universe lies before us a leper; and like wilful travellers in Lapland, who refuse to wear colored and coloring glasses upon their eyes, so the wretched infidel gazes himself blind at the monumental white shroud that wraps all the prospect around him. And of all these things the Albino whale was the symbol. Wonder ye then at the fiery hunt?","Herman Melville, Moby-Dick or, The Whale","annihilation, terror, terrorism, universe, whiteness"
"It was a black and hooded head; and hanging there in the midst of so intense a calm, it seemed the Sphynx’s in the desert. “Speak, thou vast and venerable head,” muttered Ahab, “which, though ungarnished with a beard, yet here and there lookest hoary with mosses; speak, mighty head, and tell us the secret thing that is in thee. Of all divers, thou hast dived the deepest. That head upon which the upper sun now gleams, has moved amid this world’s foundations. Where unrecorded names and navies rust, and untold hopes and anchors rot; where in her murderous hold this frigate earth is ballasted with bones of millions of the drowned; there, in that awful water-land, there was thy most familiar home. Thou hast been where bell or diver never went; hast slept by many a sailor’s side, where sleepless mothers would give their lives to lay them down. Thou saw’st the locked lovers when leaping from their flaming ship; heart to heart they sank beneath the exulting wave; true to each other, when heaven seemed false to them. Thou saw’st the murdered mate when tossed by pirates from the midnight deck; for hours he fell into the deeper midnight of the insatiate maw; and his murderers still sailed on unharmed—while swift lightnings shivered the neighboring ship that would have borne a righteous husband to outstretched, longing arms. O head! thou hast seen enough to split the planets and make an infidel of Abraham, and not one syllable is thine!","Herman Melville, Moby-Dick or, The Whale","abraham, ahab, death, hell, herman-melville, infidel, lovers, melville, moby-dick, pirates"
"I promise nothing complete; because any human thing supposed to be complete, must not for that very reason infallibly be faulty.","Herman Melville, Moby-Dick or, The Whale","complexity, human-nature, humanity, infallibility"
"But pity there was none. For all his old age, and his one arm, and his blind eyes, he must die the death and be murdered, in order to light the gay bridals and other merry-makings of men, and also to illuminate the solemn churches that preach unconditional inoffensiveness by all to all.","Herman Melville, Moby-Dick or, The Whale","church, death, die, herman-melville, justice, leviathan, life, moby-dick"
"Often ill comes from the good, as good from ill.","Herman Melville, The Encantadas or Enchanted Isles: By Herman Melville - Illustrated","philosophy, philosophy-of-life"
"...flight from tyranny does not of itself insure a safe asylum, far less a happy home.","Herman Melville, The Encantadas or Enchanted Isles: By Herman Melville - Illustrated",philosophy-of-life
"Be sure of this, O young ambition, all mortal greatness is but disease.",Herman Melville,"ambition, hubris, obsession, pride"
"War yet shall be, but warriors are now operatives; war's made less grand than peace.",Herman Melville,"technology, warfare"
"In one word, Queequeg, said I, rather digressively; hell is an idea first born on an undigested apple-dumpling; and since then perpetuated through the hereditary dyspepsias nurtured by Ramadans.","Herman Melville, Moby-Dick or, The Whale","hell, moby-dick"
"Oh, Starbuck! it is a mild, mild wind, and a mild looking sky. On such a day - very much such a sweetness as this - I struck my first whale - a boy-harpooneer of eighteen! Forty - forty - forty years ago! - ago! Forty years of continual whaling! forty years of privation, and peril, and storm-time! forty years on the pitiless sea! for forty years has Ahab forsaken the peaceful land, for forty years to make war on the horrors of the deep! Aye and yes, Starbuck, out of those forty years I have not spent three ashore. When I think of this life I have led; the desolation of solitude it has been; the masoned, walled-town of a Captain's exclusiveness, which admits but small entrance to any sympathy from the green country without - oh, weariness! heaviness! Guinea-coast slavery of solitary command! - when I think of all this; only half-suspected, not so keenly known to me before - and how for forty years I have fed upon dry salted fare - fit emblem of the dry nourishment of my soul - when the poorest landsman has had fresh fruit to his daily hand, and broken the world's fresh bread to my mouldy crusts - away, whole oceans away, from that young girl-wife I wedded past fifty, and sailed for Cape Horn the next day, leaving but one dent in my marriage pillow - wife? wife? - rather a widow with her husband alive! Aye, I widowed that poor girl when I married her, Starbuck; and then, the madness, the frenzy, the boiling blood and the smoking brow, with which, for a thousand lowerings old Ahab has furiously, foamingly chased his prey - more a demon than a man! - aye, aye! what a forty years' fool - fool - old fool, has old Ahab been! Why this strife of the chase? why weary, and palsy the arm at the oar, and the iron, and the lance? how the richer or better is Ahab now? Behold. Oh, Starbuck! is it not hard, that with this weary load I bear, one poor leg should have been snatched from under me? Here, brush this old hair aside; it blinds me, that I seem to weep. Locks so grey did never grow but from out some ashes! But do I look very old, so very, very old, Starbuck? I feel deadly faint, bowed, and humped, as though I were Adam, staggering beneath the piled centuries since Paradise. God! God! God! - crack my heart! - stave my brain! - mockery! mockery! bitter, biting mockery of grey hairs, have I lived enough joy to wear ye; and seem and feel thus intolerably old? Close! stand close to me, Starbuck; let me look into a human eye; it is better than to gaze into sea or sky; better than to gaze upon God. By the green land; by the bright hearth-stone! this is the magic glass, man; I see my wife and my child in thine eye. No, no; stay on board, on board! - lower not when I do; when branded Ahab gives chase to Moby Dick. That hazard shall not be thine. No, no! not with the far away home I see in that eye!",Herman Melville,"anguish, insanity, nostalgia, sorrow"
"That mortal man who hath more of joy than sorrow in him, that mortal man cannot be true — not true, or undeveloped. With books the same. The truest of all men was the Man of Sorrows, and the truest of all books is Solomon’s, and Ecclesiastes is the fine hammered steel of woe. “All is vanity.” ALL. This wilful world hath not got hold of unchristian Solomon’s wisdom yet.",Herman Melville,"solomon, sorrow, vanity, wisdom"
"So, cutting the lashing of the waterproof match keg, after many failures Starbuck contrived to ignite the lamp in the lantern; then stretching it on a waif pole, handed it to Queequeg as the standard-bearer of this forlorn hope. There, then, he sat, holding up that imbecile candle in the heart of that almighty forlornness. There, then, he sat, the sign and symbol of a man without faith, hopelessly holding up hope in the midst of despair.","Herman Melville, Moby-Dick or, The Whale","despair, hope"
"What is it, what nameless, inscrutable, unearthly thing is it; what cozening, hidden lord and master, and cruel, remorseless emperor commands me; that against all natural loving and longings, I so keep pushing, and crowding, and jamming myself on all the time; recklessly making me ready to do what in my own proper, natural heart, I durst not so much as dare?","Herman Melville, Moby-Dick or, The Whale","control, obsessed, obsession"
